Index,Product,Value_EU,Value_NLD,Percentage
474,902519,152106.168,3415.745,2.245632143
475,711290,151810.4,10.894,0.007176056
476,843930,151017.218,,
477,291590,151014.69,36583.421,24.2250744
478,901580,150352.825,16198.697,10.77378958
479,847730,150017.455,424.667,0.283078392
480,160590,149795.057,1090.608,0.728066748
481,60110,149708.096,146696.748,97.98852027
482,940380,149026.696,1467.987,0.985049685
483,390720,148698.558,9080.232,6.106469439
484,611020,148427.349,5756.264,3.87816938
485,293410,148421.09,557.543,0.375649444
486,180631,148394.047,1569.394,1.057585551
487,853400,148149.836,22353.108,15.088176
488,830242,147546.179,1664.463,1.128096309
489,902720,147380.724,4012.539,2.72256703
490,842959,147221.618,6825.523,4.63622333
491,491199,147149.095,1826.552,1.241293397
492,360300,146823.88,131.527,0.089581477
493,901380,146375.207,2914.983,1.99144586
494,710692,146192.411,639.355,0.437338023
495,293100,144944.55,2017.639,1.392007495
496,902920,144052.752,2209.847,1.534053997
497,950699,142890.287,1724.448,1.206833604
498,410431,142601.339,3528.104,2.474102996
499,950611,142579.628,23.493,0.016477108
500,903081,142487.534,4657.418,3.268649453
501,930510,142330.571,6.478,0.004551376
502,700319,142155.664,262.724,0.184814303
503,294000,142117.524,11574.359,8.144216613
504,200970,141559.749,284.021,0.200636835
505,293722,140884.375,43.895,0.031156755
506,220900,140798.023,334.247,0.237394669
507,401099,140632.15,11239.681,7.992255683
508,320890,140619.357,19942.311,14.18176802
509,250100,140374.044,19340.175,13.77760051
510,292429,140164.202,89.338,0.063738101
511,851490,139261.202,3031.595,2.176912849
512,870893,138981.326,67.281,0.048410101
513,711719,138154.882,100.93,0.073055688
514,401191,137540.719,508.098,0.36941642
515,392390,136895.655,17550.532,12.82037184
516,731700,136515,283.756,0.207857012
517,843050,136482.243,82.043,0.060112582
518,851521,136436.275,9667.823,7.085962293
519,390730,136234.471,27948.12,20.5147198
520,841939,135825.988,14560.729,10.72013479
521,903010,135440.116,7844.082,5.791549972
522,840810,135087.516,2344.278,1.735377235
523,400821,134910.628,550.431,0.407996767
524,280920,134500.526,61728.985,45.89497665
525,830249,134427.587,3333.02,2.479416669
526,292249,134336.955,17342.803,12.90992713
527,380810,133929.863,5017.152,3.746104034
528,391740,133583.816,2481.244,1.857443569
529,610910,133329.144,806,0.604518994
530,852910,133313.865,2028.676,1.521729191
531,940600,132962.396,27314.677,20.54315944
532,847720,132922.896,2763.369,2.078926267
533,851822,132657.066,1141.465,0.860463023
534,841111,132053.353,126.974,0.09615356
535,848110,131358.369,2365.312,1.800655731
536,480640,131276.315,8.397,0.006396432
537,843330,131275.868,1190.075,0.906545139
538,760720,130831.553,6521.904,4.984962611
539,848220,130238.695,443.844,0.340792727
540,850133,129969.108,2.638,0.002029713
541,722020,129597.912,911.966,0.703688806
542,847981,129563.673,4257.285,3.28586316
543,846510,129332.443,354.667,0.27422895
544,854290,127958.78,4985.368,3.896073407
545,846781,127820.345,,
546,271320,127574.239,92.726,0.072683953
547,760120,127452.625,6401.715,5.022819263
548,842191,127212.299,2713.645,2.133162455
549,640211,126873.769,543.118,0.428077454
550,848350,126517.912,5150.053,4.070611757
551,848140,126420.019,3399.206,2.688819403
552,330491,126077.799,63.795,0.050599709
553,853641,125679.831,640.897,0.509944193
554,852692,125396.978,289.296,0.230704124
555,741210,125295.691,95.26,0.076028153
556,901390,125217.632,1692.13,1.351351222
557,871120,124808.685,34.737,0.027832198
558,841181,124789.162,3482.635,2.790815279
559,700800,124488.762,1107.748,0.889837751
560,850132,124350.674,1600.635,1.287194471
561,844110,124284.41,522.118,0.420099351
562,292910,124148.96,878.585,0.707686154
563,380820,123857.541,5216.531,4.211718526
564,902121,123670.541,611.83,0.494725741
565,300339,123628.176,,
566,842620,123457.86,1035.407,0.838672402
567,903281,123012.378,649.421,0.527931425
568,846620,122999.701,2684.602,2.182608558
569,930529,122932.334,10.936,0.008895951
570,845530,122841.302,139.303,0.113400784
571,820770,122811.342,7834.504,6.379300049
572,210500,122527.015,4965.71,4.052747062
573,300590,122491.846,15859.306,12.94723406
574,853630,122156.615,907.123,0.742590158
575,441010,121440.505,110.374,0.090887303
576,420310,121418.336,223.489,0.18406528
577,200310,121199.854,71718.389,59.17365957
578,901490,121124.61,737.441,0.608828379
579,842691,121065.998,126.467,0.104461205
580,760429,120930.072,4681.187,3.870986697
581,100190,120503.066,,
582,722210,120288.131,16.018,0.01331636
583,851290,120103.957,343.801,0.28625285
