Product,Value_EU,Value_NLD,Percentage
840810,135087.516,2344.278,1.735377235
400821,134910.628,550.431,0.407996767
280920,134500.526,61728.985,45.89497665
830249,134427.587,3333.02,2.479416669
292249,134336.955,17342.803,12.90992713
380810,133929.863,5017.152,3.746104034
391740,133583.816,2481.244,1.857443569
610910,133329.144,806,0.604518994
852910,133313.865,2028.676,1.521729191
940600,132962.396,27314.677,20.54315944
847720,132922.896,2763.369,2.078926267
851822,132657.066,1141.465,0.860463023
841111,132053.353,126.974,0.09615356
848110,131358.369,2365.312,1.800655731
480640,131276.315,8.397,0.006396432
843330,131275.868,1190.075,0.906545139
760720,130831.553,6521.904,4.984962611
848220,130238.695,443.844,0.340792727
850133,129969.108,2.638,0.002029713
722020,129597.912,911.966,0.703688806
847981,129563.673,4257.285,3.28586316
846510,129332.443,354.667,0.27422895
854290,127958.78,4985.368,3.896073407
846781,127820.345,,
271320,127574.239,92.726,0.072683953
760120,127452.625,6401.715,5.022819263
842191,127212.299,2713.645,2.133162455
640211,126873.769,543.118,0.428077454
848350,126517.912,5150.053,4.070611757
848140,126420.019,3399.206,2.688819403
330491,126077.799,63.795,0.050599709
853641,125679.831,640.897,0.509944193
852692,125396.978,289.296,0.230704124
741210,125295.691,95.26,0.076028153
901390,125217.632,1692.13,1.351351222
871120,124808.685,34.737,0.027832198
841181,124789.162,3482.635,2.790815279
700800,124488.762,1107.748,0.889837751
850132,124350.674,1600.635,1.287194471
844110,124284.41,522.118,0.420099351
292910,124148.96,878.585,0.707686154
380820,123857.541,5216.531,4.211718526
902121,123670.541,611.83,0.494725741
300339,123628.176,,
842620,123457.86,1035.407,0.838672402
903281,123012.378,649.421,0.527931425
846620,122999.701,2684.602,2.182608558
930529,122932.334,10.936,0.008895951
845530,122841.302,139.303,0.113400784
820770,122811.342,7834.504,6.379300049
210500,122527.015,4965.71,4.052747062
300590,122491.846,15859.306,12.94723406
853630,122156.615,907.123,0.742590158
441010,121440.505,110.374,0.090887303
420310,121418.336,223.489,0.18406528
200310,121199.854,71718.389,59.17365957
901490,121124.61,737.441,0.608828379
842691,121065.998,126.467,0.104461205
760429,120930.072,4681.187,3.870986697
100190,120503.066,,
722210,120288.131,16.018,0.01331636
851290,120103.957,343.801,0.28625285
871000,119835.777,243.737,0.203392514
151219,119097.17,8974.624,7.535547654
200870,119077.169,238.139,0.199987119
741220,118276.883,3595.829,3.040179035
391239,117937.983,3360.465,2.849349221
851010,117434.152,27707.167,23.59378982
320417,117058.333,1628.711,1.391366986
390740,116798.732,4674.241,4.00196211
320610,116493.454,1828.648,1.569743138
820790,116283.147,458.741,0.394503427
620211,116105.414,50.249,0.043278774
930590,115963.192,2957.621,2.55048257
903290,115894.346,1385.667,1.195629509
380830,115880.635,70.039,0.060440642
392310,115762.398,19728.019,17.04181957
853940,115702.896,1007.698,0.870935849
330510,115579.623,4523.288,3.913568744
210110,115296.764,46571.425,40.39265577
810890,115222.083,6559.674,5.693070138
680422,115062.657,827.711,0.719356759
843290,114200.858,10046.374,8.797109037
961310,113834.876,315.807,0.277425523
848230,113825.792,355.134,0.311997829
841850,113785.483,341.33,0.299976755
848130,113398.077,9439.19,8.32394186
391732,113175.566,3876.64,3.425332991
392020,113143.238,2721.521,2.405376625
851410,113029.113,376.988,0.333531769
340290,112979.732,8104.582,7.173483116
851150,112945.804,147.784,0.130845056
950691,112925.399,5462.168,4.83697029
903039,112810.12,1121.149,0.993837255
620449,112470.272,84.139,0.074809991
850220,112249.244,52.244,0.046542852
847480,112070.065,798.684,0.712664885
810810,111873.578,60.507,0.054085157
950430,111403.71,1065.192,0.956154871
850590,111301.206,848.674,0.76250207
691200,110722.297,259.759,0.234604056
850450,110645.451,494.157,0.446613029
392330,110220.042,8021.285,7.277519455
390110,110133.263,12318.373,11.18497052
481029,110104.408,10111.118,9.183209086
847410,109404.645,2743.588,2.507743615
620331,109234.265,57.171,0.052337973
750210,109216.051,24084.864,22.05249483
330129,108642.08,2145.311,1.974659359
842612,108451.08,4724.836,4.356651866
200490,108319.782,12005.278,11.08318146
30269,108221.973,5275.247,4.874469439
720824,108168.907,46318.768,42.82077843
702000,107980.724,717.225,0.664215772
842820,107444.957,9232.45,8.592725297
811291,107082.132,8103.507,7.567562252
841899,107016.255,2076.545,1.940401484
392630,106799.504,617.947,0.578604747
722850,106624.219,12.817,0.012020721
846229,106494.346,4981.445,4.677661479
441212,106417.532,9602.242,9.023176745
820231,106257.598,6679.791,6.286412573
330690,106191.046,340.971,0.321092044
741600,105822.088,941.443,0.88964697
853590,105425.598,7857.501,7.45312443
841582,105393.003,2046.412,1.941696262
420291,105322.744,60.719,0.057650416
60310,104606.224,98148.97,93.82708432
730110,104547.95,192.453,0.184081084
391710,104510.084,13.509,0.012926025
392520,104261.156,153.34,0.14707299
420232,104252.293,82.353,0.078993946
846692,103764.834,532.004,0.512701635
903300,103509.25,3264.515,3.153838908
200590,103466.937,15338.82,14.82485173
901110,103205.048,49.259,0.047729254
841790,103175.635,427.309,0.414156889
620311,102992.972,42.395,0.041163003
851680,102705.409,1586.055,1.544276018
290243,102446.914,102413.634,99.96751488
390930,102351.185,6904.493,6.745884769
730793,102186.256,2599.396,2.543782405
841122,101962.326,60064.962,58.90897585
903120,101794.772,1243.496,1.221571575
950490,101255.582,8407.795,8.303537281
843131,100803.974,2364.511,2.345652563
844900,100784.659,100.09,0.099310749
741110,100464.759,96.207,0.095761938
841231,100337.456,2401.461,2.393384381
843141,100059.142,8108.197,8.103404485
340319,99980.741,463.622,0.463711306
902000,99657.789,543.129,0.54499403
871190,99303.311,19762.281,19.90092858
390890,99077.029,25217.248,25.45216409
850162,99001.954,14014.082,14.15535899
870590,98418.443,13334.747,13.54903267
320300,97350.659,50907.23,52.29264036
854511,97191.787,6.846,0.007043805
853190,97087.457,3861.592,3.97743655
630790,97021.095,10428.131,10.74831303
340213,96919.004,5841.196,6.026884057
730799,96705.554,15910.881,16.45291335
901590,96488.381,2126.374,2.203761715
710391,96481.518,46.954,0.048666316
902129,96256.537,4758.784,4.943855398
902680,96060.268,5199.781,5.41304028
846591,95779.27,360.062,0.375928946
843691,95747.782,26384.773,27.55653703
340399,95404.534,5965.135,6.252464899
846599,95287.973,116.017,0.121754085
681510,95117.763,8645.232,9.088977418
970190,95062.056,1937.8,2.03845791
392062,95055.901,611.563,0.643371946
750800,94812.582,3366.66,3.550857839
711041,94772.909,,
740919,94580.875,54.637,0.057767493
550410,94343.89,6.231,0.006604561
900110,94283.125,11551.254,12.25166646
620293,94112.518,393.244,0.417844521
320990,93777.124,5630.433,6.00405809
851690,93648.672,1201.949,1.283466145
720449,93639.132,12704.367,13.56736946
841182,93521.27,3073.106,3.285996865
900150,93280.834,24.673,0.026450235
350510,92976.118,25224.653,27.13024973
481940,92684.933,522.442,0.56367522
281512,92525.031,27443.112,29.66020298
842131,92490.648,2964.87,3.205588959
731829,92236.525,4068.498,4.410940243
722100,92130.224,4.826,0.005238238
841440,92042.504,20.045,0.021777982
845490,91855.265,16.659,0.018136141
845020,91756.509,,
320649,91749.577,7924.764,8.637384781
871140,91260.245,24.471,0.026814524
220600,91162.049,10169.524,11.15543596
340700,91148.658,3204.944,3.516172449
90420,91136.382,25.226,0.027679396
730660,90896.245,307.189,0.337955655
722550,90736.121,24840.178,27.37628381
620520,90722.871,196.09,0.216141749
843110,90584.245,11570.661,12.77337025
392042,90454.303,933.199,1.031680052
90112,89982.665,,
200980,89779.44,18386.457,20.4795853
620443,89669.604,190.979,0.212980755
845931,89128.337,,
930621,88366.561,2.608,0.002951343
730791,88317.407,521.663,0.590668383
730439,88246.388,78.667,0.089144725
481131,87957.383,2281.734,2.594135844
847590,87842.288,411.913,0.46892335
850619,87530.864,2029.17,2.318233715
370242,87392.24,,
842220,87374.942,3149.923,3.605064482
591190,87343.413,1333.36,1.526571901
820890,87037.713,1326.502,1.524054291
420212,87035.271,339.827,0.390447454
840690,87027.214,500.792,0.575442987
300190,87008.887,2237.639,2.571736149
391739,86955.907,2453.201,2.821201094
940330,86920.182,938.042,1.079199305
845811,86834.818,55.836,0.064301396
880220,86728.135,128.684,0.148376303
851840,86715.596,524.442,0.604783942
